Time,Force,Displacement,Optical Displacement,Mechanical Displacement
(s),(lbf),(in),(in),(in)
"0.000","21","0.0000","-0.00002","0.00000"
"0.100","21","0.0000","-0.00002","0.00000"
"0.200","21","0.0001","-0.00001","0.00001"
"0.300","22","0.0002","0.00000","0.00002"
"0.400","22","0.0002","0.00000","0.00003"
"0.500","23","0.0003","0.00004","0.00004"
"0.600","23","0.0004","0.00006","0.00005"
"0.700","24","0.0004","0.00010","0.00005"
"0.800","24","0.0005","0.00010","0.00006"
"0.900","24","0.0006","0.00012","0.00007"
"1.000","24","0.0006","0.00016","0.00007"
"1.100","25","0.0007","0.00019","0.00008"
"1.200","25","0.0008","0.00018","0.00008"
"1.300","25","0.0008","0.00021","0.00009"
"1.400","26","0.0009","0.00023","0.00010"
"1.500","26","0.0010","0.00024","0.00010"
"1.600","26","0.0010","0.00026","0.00011"
"1.700","27","0.0011","0.00026","0.00012"
"1.800","27","0.0012","0.00028","0.00012"
"1.900","27","0.0012","0.00031","0.00013"
"2.000","27","0.0013","0.00030","0.00014"
"2.100","28","0.0014","0.00033","0.00014"
"2.200","28","0.0014","0.00033","0.00015"
"2.300","28","0.0015","0.00035","0.00016"
"2.400","29","0.0016","0.00036","0.00016"
"2.500","29","0.0016","0.00037","0.00017"
"2.600","29","0.0017","0.00039","0.00018"
"2.700","29","0.0018","0.00041","0.00018"
"2.800","30","0.0018","0.00042","0.00019"
"2.900","30","0.0019","0.00042","0.00020"
"3.000","30","0.0020","0.00048","0.00020"
"3.100","30","0.0020","0.00050","0.00021"
"3.200","30","0.0021","0.00050","0.00022"
"3.300","31","0.0022","0.00050","0.00023"
"3.400","31","0.0022","0.00050","0.00023"
"3.500","31","0.0023","0.00052","0.00024"
"3.600","32","0.0024","0.00053","0.00024"
"3.700","32","0.0024","0.00055","0.00025"
"3.800","32","0.0025","0.00056","0.00026"
"3.900","32","0.0026","0.00059","0.00026"
"4.000","32","0.0026","0.00061","0.00027"
"4.100","33","0.0027","0.00063","0.00028"
"4.200","33","0.0028","0.00064","0.00028"
"4.300","33","0.0028","0.00066","0.00029"
"4.400","33","0.0029","0.00066","0.00029"
"4.500","33","0.0030","0.00069","0.00030"
"4.600","34","0.0030","0.00069","0.00031"
"4.700","34","0.0031","0.00071","0.00031"
"4.800","34","0.0032","0.00073","0.00032"
"4.900","34","0.0032","0.00077","0.00032"
"5.000","34","0.0033","0.00080","0.00033"
"5.100","34","0.0034","0.00080","0.00034"
"5.200","34","0.0034","0.00080","0.00034"
"5.300","35","0.0035","0.00082","0.00035"
"5.400","35","0.0036","0.00083","0.00035"
"5.500","35","0.0036","0.00083","0.00036"
"5.600","35","0.0037","0.00082","0.00037"
"5.700","35","0.0038","0.00083","0.00037"
"5.800","36","0.0038","0.00085","0.00038"
"5.900","36","0.0039","0.00087","0.00038"
"6.000","36","0.0040","0.00089","0.00039"
"6.100","36","0.0040","0.00092","0.00039"
"6.200","36","0.0041","0.00094","0.00040"
"6.300","36","0.0042","0.00095","0.00041"
"6.400","37","0.0042","0.00095","0.00041"
"6.500","37","0.0043","0.00096","0.00042"
"6.600","37","0.0044","0.00099","0.00042"
"6.700","37","0.0044","0.00100","0.00043"
"6.800","37","0.0045","0.00100","0.00044"
"6.900","37","0.0046","0.00101","0.00044"
"7.000","37","0.0046","0.00101","0.00045"
"7.100","38","0.0047","0.00101","0.00045"
"7.200","38","0.0048","0.00102","0.00046"
"7.300","38","0.0048","0.00104","0.00047"
"7.400","38","0.0049","0.00105","0.00047"
"7.500","38","0.0050","0.00106","0.00048"
"7.600","38","0.0050","0.00107","0.00048"
"7.700","38","0.0051","0.00107","0.00049"
"7.800","39","0.0052","0.00110","0.00049"
"7.900","39","0.0052","0.00111","0.00050"
"8.000","39","0.0053","0.00112","0.00051"
"8.100","39","0.0054","0.00113","0.00051"
"8.200","39","0.0054","0.00113","0.00052"
"8.300","39","0.0055","0.00114","0.00052"
"8.400","40","0.0056","0.00113","0.00053"
"8.500","40","0.0056","0.00112","0.00054"
"8.600","40","0.0057","0.00111","0.00054"
"8.700","40","0.0058","0.00109","0.00055"
"8.800","40","0.0058","0.00109","0.00055"
"8.900","40","0.0059","-0.00090","0.00056"
"9.000","40","0.0060","-0.00091","0.00056"
"9.100","40","0.0060","-0.00092","0.00057"
"9.200","41","0.0061","-0.00092","0.00057"
"9.300","41","0.0062","-0.00092","0.00058"
"9.400","41","0.0062","-0.00092","0.00059"
"9.500","41","0.0063","-0.00092","0.00059"
"9.600","41","0.0064","-0.00092","0.00060"
"9.700","41","0.0064","-0.00092","0.00060"
"9.800","41","0.0065","-0.00092","0.00061"
"9.900","42","0.0066","-0.00092","0.00061"
"10.000","42","0.0066","-0.00092","0.00062"
"10.100","42","0.0067","-0.00092","0.00063"
"10.200","42","0.0068","-0.00092","0.00063"
"10.300","42","0.0068","-0.00092","0.00063"
"10.400","42","0.0069","-0.00092","0.00064"
"10.500","42","0.0070","-0.00092","0.00065"
"10.600","43","0.0070","-0.00092","0.00065"
"10.700","43","0.0071","-0.00092","0.00066"
"10.800","43","0.0072","-0.00092","0.00067"
"10.900","43","0.0072","-0.00092","0.00067"
"11.000","43","0.0073","-0.00092","0.00068"
"11.100","43","0.0074","-0.00092","0.00068"
"11.200","43","0.0074","-0.00092","0.00069"
"11.300","44","0.0075","-0.00092","0.00069"
"11.400","44","0.0076","-0.00092","0.00070"
"11.500","44","0.0076","-0.00092","0.00070"
"11.600","44","0.0077","-0.00092","0.00071"
"11.700","44","0.0078","-0.00092","0.00072"
"11.800","44","0.0078","-0.00092","0.00072"
"11.900","44","0.0079","-0.00092","0.00073"
"12.000","44","0.0080","-0.00092","0.00073"
"12.100","45","0.0080","-0.00092","0.00074"
"12.200","45","0.0081","-0.00092","0.00074"
"12.300","45","0.0082","-0.00092","0.00075"
"12.400","45","0.0082","-0.00092","0.00075"
"12.500","45","0.0083","-0.00092","0.00076"
"12.600","45","0.0084","-0.00092","0.00077"
"12.700","45","0.0084","-0.00092","0.00077"
"12.800","46","0.0085","-0.00092","0.00078"
"12.900","46","0.0086","-0.00092","0.00078"
"13.000","46","0.0086","-0.00092","0.00079"
"13.100","46","0.0087","-0.00092","0.00079"
"13.200","46","0.0088","-0.00092","0.00080"
"13.300","46","0.0088","-0.00092","0.00080"
"13.400","46","0.0089","-0.00092","0.00081"
"13.500","46","0.0090","-0.00092","0.00081"
"13.600","47","0.0090","-0.00092","0.00082"
"13.700","47","0.0091","-0.00092","0.00083"
"13.800","47","0.0092","-0.00092","0.00083"
"13.900","47","0.0092","-0.00092","0.00084"
"14.000","47","0.0093","-0.00092","0.00084"
"14.100","47","0.0094","-0.00092","0.00085"
"14.200","47","0.0094","-0.00092","0.00085"
"14.300","48","0.0095","-0.00092","0.00086"
"14.400","48","0.0096","-0.00092","0.00087"
"14.500","48","0.0096","-0.00092","0.00087"
"14.600","48","0.0097","-0.00092","0.00088"
"14.700","48","0.0098","-0.00092","0.00088"
"14.800","48","0.0098","-0.00092","0.00089"
"14.900","48","0.0099","-0.00092","0.00089"
"15.000","49","0.0100","-0.00092","0.00090"
"15.100","49","0.0100","-0.00092","0.00090"
"15.200","49","0.0101","-0.00092","0.00091"
"15.300","49","0.0102","-0.00092","0.00091"
"15.400","49","0.0102","-0.00092","0.00092"
"15.500","49","0.0103","-0.00092","0.00093"
"15.600","49","0.0104","-0.00092","0.00093"
"15.700","49","0.0104","-0.00092","0.00094"
"15.800","50","0.0105","-0.00092","0.00094"
"15.900","50","0.0106","-0.00092","0.00095"
"16.000","50","0.0106","-0.00092","0.00095"
"16.100","50","0.0107","-0.00092","0.00096"
"16.200","50","0.0108","-0.00092","0.00096"
"16.300","50","0.0108","-0.00092","0.00097"
"16.400","50","0.0109","-0.00092","0.00097"
"16.500","51","0.0110","-0.00092","0.00098"
"16.600","51","0.0110","-0.00092","0.00099"
"16.700","51","0.0111","-0.00092","0.00099"
"16.800","51","0.0112","-0.00092","0.00100"
"16.900","51","0.0112","-0.00092","0.00100"
"17.000","51","0.0113","-0.00092","0.00101"
"17.100","51","0.0114","-0.00092","0.00101"
"17.200","52","0.0114","-0.00092","0.00102"
"17.300","52","0.0115","-0.00092","0.00102"
"17.400","52","0.0116","-0.00092","0.00103"
"17.500","52","0.0116","-0.00092","0.00104"
"17.600","52","0.0117","-0.00092","0.00104"
"17.700","52","0.0118","-0.00092","0.00105"
"17.800","52","0.0118","-0.00092","0.00105"
"17.900","52","0.0119","-0.00092","0.00106"
"18.000","53","0.0120","-0.00092","0.00106"
"18.100","53","0.0120","-0.00092","0.00107"
"18.200","53","0.0121","-0.00092","0.00108"
"18.300","53","0.0122","-0.00092","0.00108"
"18.400","53","0.0122","-0.00092","0.00109"
"18.500","53","0.0123","-0.00092","0.00109"
"18.600","53","0.0124","-0.00092","0.00110"
"18.700","54","0.0124","-0.00092","0.00110"
"18.800","54","0.0125","-0.00092","0.00111"
"18.900","54","0.0126","-0.00092","0.00111"
"19.000","54","0.0126","-0.00092","0.00112"
"19.100","54","0.0127","-0.00092","0.00112"
"19.200","54","0.0128","-0.00092","0.00113"
"19.300","54","0.0128","-0.00092","0.00113"
"19.400","54","0.0129","-0.00092","0.00114"
"19.500","55","0.0130","-0.00092","0.00114"
"19.600","55","0.0130","-0.00092","0.00115"
"19.700","55","0.0131","-0.00092","0.00116"
"19.800","55","0.0132","-0.00092","0.00116"
"19.900","55","0.0132","-0.00092","0.00117"
"20.000","55","0.0133","-0.00092","0.00117"
"20.100","55","0.0134","-0.00092","0.00118"
"20.200","56","0.0134","-0.00092","0.00118"
"20.300","56","0.0135","-0.00092","0.00119"
