Time,Force,Displacement,Optical Displacement,Mechanical Displacement
(s),(lbf),(in),(in),(in)
"0.000","23","0.0001","0.00000","0.00000"
"0.100","27","0.0002","0.00000","0.00001"
"0.200","32","0.0004","0.00004","0.00001"
"0.300","36","0.0005","0.00007","0.00002"
"0.400","38","0.0007","0.00013","0.00002"
"0.500","37","0.0009","0.00016","0.00002"
"0.600","39","0.0010","0.00017","0.00002"
"0.700","41","0.0012","0.00020","0.00003"
"0.800","43","0.0014","0.00024","0.00003"
"0.900","44","0.0015","0.00027","0.00004"
"1.000","45","0.0017","0.00031","0.00004"
"1.100","47","0.0019","0.00036","0.00004"
"1.200","48","0.0020","0.00041","0.00004"
"1.300","49","0.0022","0.00046","0.00005"
"1.400","51","0.0024","0.00050","0.00005"
"1.500","52","0.0025","0.00054","0.00005"
"1.600","53","0.0027","-0.00037","0.00005"
"1.700","53","0.0029","-0.00082","0.00005"
"1.800","53","0.0030","-0.00085","0.00005"
"1.900","53","0.0032","-0.00085","0.00005"
"2.000","54","0.0034","-0.00080","0.00005"
"2.100","54","0.0035","-0.00080","0.00005"
"2.200","55","0.0037","-0.00076","0.00005"
"2.300","55","0.0039","-0.00072","0.00005"
"2.400","56","0.0040","-0.00071","0.00005"
"2.500","56","0.0042","-0.00069","0.00005"
"2.600","57","0.0044","-0.00068","0.00005"
"2.700","58","0.0045","-0.00063","0.00006"
"2.800","59","0.0047","-0.00061","0.00006"
"2.900","59","0.0049","-0.00058","0.00006"
"3.000","60","0.0050","-0.00055","0.00006"
"3.100","60","0.0052","-0.00051","0.00006"
"3.200","61","0.0054","-0.00049","0.00006"
"3.300","61","0.0055","-0.00044","0.00006"
"3.400","62","0.0057","-0.00040","0.00006"
"3.500","63","0.0059","-0.00038","0.00006"
"3.600","63","0.0060","-0.00035","0.00006"
"3.700","64","0.0062","-0.00032","0.00006"
"3.800","65","0.0064","-0.00029","0.00006"
"3.900","65","0.0065","-0.00026","0.00007"
"4.000","66","0.0067","-0.00022","0.00007"
"4.100","67","0.0069","-0.00019","0.00007"
"4.200","68","0.0070","-0.00015","0.00007"
"4.300","69","0.0072","-0.00010","0.00007"
"4.400","70","0.0074","-0.00007","0.00007"
"4.500","72","0.0075","-0.00003","0.00007"
"4.600","73","0.0077","-0.00001","0.00007"
"4.700","74","0.0079","0.00003","0.00008"
"4.800","75","0.0080","0.00006","0.00008"
"4.900","76","0.0082","0.00011","0.00008"
"5.000","78","0.0084","0.00013","0.00008"
"5.100","79","0.0085","0.00016","0.00008"
"5.200","80","0.0087","0.00020","0.00009"
"5.300","82","0.0089","0.00023","0.00009"
"5.400","83","0.0090","0.00027","0.00009"
"5.500","84","0.0092","0.00031","0.00009"
"5.600","86","0.0094","0.00035","0.00009"
"5.700","87","0.0095","0.00039","0.00010"
"5.800","88","0.0097","0.00044","0.00010"
"5.900","90","0.0099","0.00047","0.00010"
"6.000","91","0.0100","0.00051","0.00010"
"6.100","92","0.0102","-0.00009","0.00011"
"6.200","94","0.0104","-0.00090","0.00011"
"6.300","95","0.0105","-0.00085","0.00011"
"6.400","96","0.0107","-0.00086","0.00011"
"6.500","98","0.0109","-0.00081","0.00012"
"6.600","99","0.0110","-0.00084","0.00012"
"6.700","100","0.0112","-0.00073","0.00012"
"6.800","101","0.0114","-0.00075","0.00012"
"6.900","103","0.0115","-0.00077","0.00012"
"7.000","104","0.0117","-0.00076","0.00013"
"7.100","105","0.0119","-0.00071","0.00013"
"7.200","106","0.0120","-0.00071","0.00013"
"7.300","108","0.0122","-0.00069","0.00013"
"7.400","109","0.0124","-0.00065","0.00013"
"7.500","110","0.0125","-0.00061","0.00014"
"7.600","111","0.0127","-0.00059","0.00014"
"7.700","112","0.0129","-0.00059","0.00014"
"7.800","114","0.0130","-0.00057","0.00014"
"7.900","115","0.0132","-0.00054","0.00015"
"8.000","116","0.0134","-0.00052","0.00015"
"8.100","117","0.0135","-0.00049","0.00015"
"8.200","119","0.0137","-0.00046","0.00015"
"8.300","120","0.0139","-0.00043","0.00015"
"8.400","121","0.0140","-0.00039","0.00015"
"8.500","122","0.0142","-0.00036","0.00016"
"8.600","124","0.0144","-0.00032","0.00016"
"8.700","125","0.0145","-0.00028","0.00016"
"8.800","126","0.0147","-0.00025","0.00016"
"8.900","128","0.0149","-0.00021","0.00016"
"9.000","129","0.0150","-0.00017","0.00017"
"9.100","130","0.0152","-0.00013","0.00017"
"9.200","132","0.0154","-0.00008","0.00017"
"9.300","133","0.0155","-0.00005","0.00017"
"9.400","134","0.0157","0.00000","0.00017"
"9.500","136","0.0159","0.00003","0.00018"
"9.600","137","0.0160","0.00008","0.00018"
"9.700","138","0.0162","0.00013","0.00018"
"9.800","140","0.0164","0.00020","0.00018"
"9.900","141","0.0165","0.00025","0.00019"
"10.000","143","0.0167","0.00029","0.00019"
"10.100","144","0.0169","0.00033","0.00019"
"10.200","146","0.0170","0.00038","0.00019"
"10.300","147","0.0172","0.00042","0.00019"
"10.400","149","0.0174","0.00048","0.00020"
"10.500","150","0.0175","0.00053","0.00020"
"10.600","152","0.0177","-0.00002","0.00020"
"10.700","153","0.0179","-0.00059","0.00020"
"10.800","155","0.0180","-0.00090","0.00021"
"10.900","156","0.0182","-0.00085","0.00021"
"11.000","158","0.0184","-0.00083","0.00021"
"11.100","160","0.0185","-0.00080","0.00021"
"11.200","162","0.0187","-0.00076","0.00022"
"11.300","163","0.0189","-0.00079","0.00022"
"11.400","165","0.0190","-0.00077","0.00022"
"11.500","167","0.0192","-0.00073","0.00022"
"11.600","168","0.0194","-0.00072","0.00022"
"11.700","170","0.0195","-0.00065","0.00023"
"11.800","172","0.0197","-0.00067","0.00023"
"11.900","174","0.0199","-0.00061","0.00023"
"12.000","176","0.0200","-0.00059","0.00024"
"12.100","177","0.0202","-0.00056","0.00024"
"12.200","179","0.0204","-0.00054","0.00024"
"12.300","181","0.0205","-0.00054","0.00024"
"12.400","183","0.0207","-0.00052","0.00025"
"12.500","185","0.0209","-0.00048","0.00025"
"12.600","187","0.0210","-0.00046","0.00025"
"12.700","189","0.0212","-0.00043","0.00025"
"12.800","191","0.0214","-0.00038","0.00026"
"12.900","193","0.0215","-0.00036","0.00026"
"13.000","195","0.0217","-0.00031","0.00026"
"13.100","197","0.0219","-0.00028","0.00027"
"13.200","199","0.0220","-0.00023","0.00027"
"13.300","201","0.0222","-0.00021","0.00027"
"13.400","203","0.0224","-0.00018","0.00027"
"13.500","205","0.0225","-0.00013","0.00028"
"13.600","207","0.0227","-0.00009","0.00028"
"13.700","209","0.0229","-0.00003","0.00028"
"13.800","211","0.0230","0.00000","0.00029"
"13.900","213","0.0232","0.00005","0.00029"
"14.000","215","0.0234","0.00010","0.00029"
"14.100","217","0.0235","0.00015","0.00030"
"14.200","219","0.0237","0.00021","0.00030"
"14.300","222","0.0239","0.00025","0.00030"
"14.400","224","0.0240","0.00030","0.00031"
"14.500","226","0.0242","0.00035","0.00031"
"14.600","228","0.0244","0.00039","0.00031"
"14.700","231","0.0245","0.00044","0.00032"
"14.800","233","0.0247","0.00049","0.00032"
"14.900","235","0.0249","0.00054","0.00032"
"15.000","237","0.0250","0.00058","0.00033"
"15.100","240","0.0252","0.00049","0.00033"
"15.200","242","0.0254","-0.00067","0.00033"
"15.300","244","0.0255","-0.00069","0.00034"
"15.400","247","0.0257","-0.00081","0.00034"
"15.500","249","0.0259","-0.00077","0.00034"
"15.600","252","0.0260","-0.00076","0.00035"
"15.700","254","0.0262","-0.00078","0.00035"
"15.800","257","0.0264","-0.00072","0.00035"
"15.900","259","0.0265","-0.00071","0.00036"
"16.000","261","0.0267","-0.00067","0.00036"
"16.100","264","0.0269","-0.00068","0.00036"
"16.200","266","0.0270","-0.00066","0.00037"
"16.300","269","0.0272","-0.00064","0.00037"
"16.400","271","0.0274","-0.00057","0.00038"
"16.500","274","0.0275","-0.00058","0.00038"
"16.600","276","0.0277","-0.00053","0.00038"
"16.700","279","0.0279","-0.00051","0.00039"
"16.800","281","0.0280","-0.00053","0.00039"
