Time,Force,Displacement,Optical Displacement,Mechanical Displacement
(s),(lbf),(in),(in),(in)
"0.000","20","0.0000","0.00002","0.00000"
"0.100","24","0.0001","0.00003","0.00000"
"0.200","28","0.0003","0.00004","0.00001"
"0.300","31","0.0004","0.00003","0.00001"
"0.400","34","0.0006","0.00002","0.00002"
"0.500","37","0.0008","0.00003","0.00002"
"0.600","39","0.0009","0.00004","0.00002"
"0.700","41","0.0011","0.00004","0.00003"
"0.800","43","0.0013","0.00005","0.00003"
"0.900","45","0.0014","0.00005","0.00003"
"1.000","46","0.0016","0.00006","0.00003"
"1.100","48","0.0018","0.00006","0.00004"
"1.200","49","0.0019","0.00005","0.00004"
"1.300","50","0.0021","0.00004","0.00004"
"1.400","50","0.0023","0.00004","0.00004"
"1.500","48","0.0024","0.00004","0.00004"
"1.600","50","0.0026","0.00004","0.00004"
"1.700","51","0.0028","0.00003","0.00004"
"1.800","52","0.0029","0.00004","0.00004"
"1.900","52","0.0031","0.00003","0.00004"
"2.000","52","0.0033","0.00003","0.00004"
"2.100","53","0.0034","0.00003","0.00004"
"2.200","53","0.0036","0.00003","0.00004"
"2.300","53","0.0038","0.00003","0.00004"
"2.400","53","0.0039","0.00002","0.00004"
"2.500","54","0.0041","0.00002","0.00004"
"2.600","54","0.0043","0.00001","0.00004"
"2.700","54","0.0044","0.00001","0.00004"
"2.800","55","0.0046","0.00000","0.00004"
"2.900","55","0.0048","0.00000","0.00004"
"3.000","55","0.0049","0.00001","0.00004"
"3.100","55","0.0051","0.00003","0.00004"
"3.200","55","0.0053","0.00001","0.00004"
"3.300","56","0.0054","0.00001","0.00004"
"3.400","56","0.0056","0.00002","0.00004"
"3.500","56","0.0058","0.00002","0.00004"
"3.600","56","0.0059","0.00004","0.00004"
"3.700","57","0.0061","0.00004","0.00004"
"3.800","57","0.0063","0.00004","0.00004"
"3.900","57","0.0064","0.00003","0.00004"
"4.000","57","0.0066","0.00004","0.00004"
"4.100","57","0.0068","0.00004","0.00004"
"4.200","57","0.0069","0.00004","0.00004"
"4.300","57","0.0071","0.00005","0.00004"
"4.400","57","0.0073","0.00006","0.00004"
"4.500","57","0.0074","0.00005","0.00004"
"4.600","58","0.0076","0.00006","0.00004"
"4.700","58","0.0078","0.00006","0.00005"
"4.800","58","0.0079","0.00007","0.00005"
"4.900","58","0.0081","0.00006","0.00004"
"5.000","58","0.0083","0.00006","0.00005"
"5.100","58","0.0084","0.00004","0.00005"
"5.200","59","0.0086","0.00005","0.00005"
"5.300","59","0.0088","0.00004","0.00005"
"5.400","59","0.0089","0.00003","0.00005"
"5.500","59","0.0091","0.00002","0.00005"
"5.600","60","0.0093","0.00001","0.00005"
"5.700","60","0.0094","-0.00001","0.00005"
"5.800","60","0.0096","-0.00001","0.00005"
"5.900","61","0.0098","-0.00001","0.00005"
"6.000","61","0.0099","-0.00002","0.00005"
"6.100","62","0.0101","-0.00003","0.00005"
"6.200","62","0.0103","-0.00003","0.00005"
"6.300","63","0.0104","-0.00004","0.00005"
"6.400","63","0.0106","-0.00004","0.00005"
"6.500","64","0.0108","-0.00004","0.00005"
"6.600","64","0.0109","-0.00002","0.00005"
"6.700","65","0.0111","-0.00003","0.00005"
"6.800","65","0.0113","-0.00002","0.00005"
"6.900","66","0.0114","-0.00002","0.00005"
"7.000","67","0.0116","-0.00002","0.00005"
"7.100","67","0.0118","-0.00002","0.00005"
"7.200","68","0.0119","-0.00003","0.00005"
"7.300","69","0.0121","-0.00003","0.00006"
"7.400","69","0.0123","-0.00002","0.00005"
"7.500","70","0.0124","-0.00002","0.00006"
"7.600","71","0.0126","-0.00004","0.00006"
"7.700","72","0.0128","-0.00003","0.00006"
"7.800","73","0.0129","-0.00003","0.00006"
"7.900","73","0.0131","-0.00004","0.00006"
"8.000","74","0.0133","-0.00003","0.00006"
"8.100","75","0.0134","-0.00004","0.00006"
"8.200","76","0.0136","-0.00003","0.00006"
"8.300","76","0.0138","-0.00003","0.00006"
"8.400","77","0.0139","-0.00003","0.00007"
"8.500","78","0.0141","-0.00004","0.00007"
"8.600","79","0.0143","-0.00002","0.00007"
"8.700","80","0.0144","-0.00002","0.00007"
"8.800","81","0.0146","-0.00002","0.00007"
"8.900","82","0.0148","-0.00003","0.00007"
"9.000","83","0.0149","-0.00002","0.00007"
"9.100","84","0.0151","-0.00002","0.00007"
"9.200","85","0.0153","-0.00002","0.00007"
"9.300","86","0.0154","-0.00002","0.00007"
"9.400","88","0.0156","-0.00002","0.00007"
"9.500","89","0.0158","-0.00002","0.00008"
"9.600","90","0.0159","-0.00003","0.00008"
"9.700","91","0.0161","-0.00004","0.00008"
"9.800","93","0.0163","-0.00004","0.00008"
"9.900","94","0.0164","-0.00002","0.00008"
"10.000","95","0.0166","-0.00001","0.00008"
"10.100","97","0.0168","-0.00002","0.00008"
"10.200","98","0.0169","-0.00002","0.00008"
"10.300","99","0.0171","-0.00002","0.00008"
"10.400","100","0.0173","-0.00004","0.00009"
"10.500","102","0.0174","-0.00005","0.00009"
"10.600","104","0.0176","-0.00005","0.00009"
"10.700","105","0.0178","-0.00005","0.00009"
"10.800","107","0.0179","-0.00007","0.00009"
"10.900","108","0.0181","-0.00007","0.00009"
"11.000","110","0.0183","-0.00007","0.00009"
"11.100","111","0.0184","-0.00008","0.00009"
"11.200","113","0.0186","-0.00009","0.00009"
"11.300","114","0.0188","-0.00009","0.00009"
"11.400","116","0.0189","-0.00008","0.00010"
"11.500","117","0.0191","-0.00007","0.00010"
"11.600","119","0.0193","-0.00008","0.00010"
"11.700","120","0.0194","-0.00008","0.00010"
"11.800","122","0.0196","-0.00007","0.00010"
"11.900","123","0.0198","-0.00007","0.00010"
"12.000","125","0.0199","-0.00006","0.00010"
"12.100","127","0.0201","-0.00006","0.00010"
"12.200","128","0.0203","-0.00007","0.00011"
"12.300","130","0.0204","-0.00006","0.00010"
"12.400","131","0.0206","-0.00007","0.00011"
"12.500","133","0.0208","-0.00007","0.00011"
"12.600","135","0.0209","-0.00007","0.00011"
"12.700","137","0.0211","-0.00008","0.00011"
"12.800","138","0.0213","-0.00009","0.00011"
"12.900","140","0.0214","-0.00008","0.00011"
"13.000","142","0.0216","-0.00008","0.00011"
"13.100","143","0.0218","-0.00008","0.00011"
"13.200","145","0.0219","-0.00008","0.00012"
"13.300","147","0.0221","-0.00006","0.00012"
"13.400","149","0.0223","-0.00005","0.00012"
"13.500","151","0.0224","-0.00005","0.00012"
"13.600","153","0.0226","-0.00006","0.00012"
"13.700","155","0.0228","-0.00006","0.00012"
"13.800","156","0.0229","-0.00006","0.00012"
"13.900","158","0.0231","-0.00006","0.00012"
"14.000","160","0.0233","-0.00005","0.00012"
"14.100","162","0.0234","-0.00005","0.00012"
"14.200","164","0.0236","-0.00004","0.00013"
"14.300","166","0.0238","-0.00003","0.00013"
"14.400","168","0.0239","-0.00004","0.00013"
"14.500","170","0.0241","-0.00002","0.00013"
"14.600","172","0.0243","-0.00005","0.00013"
"14.700","174","0.0244","-0.00004","0.00013"
"14.800","176","0.0246","-0.00003","0.00013"
"14.900","178","0.0248","-0.00003","0.00013"
"15.000","180","0.0249","-0.00002","0.00013"
"15.100","182","0.0251","-0.00002","0.00014"
"15.200","184","0.0253","-0.00002","0.00014"
"15.300","186","0.0254","-0.00001","0.00014"
"15.400","189","0.0256","-0.00002","0.00014"
"15.500","191","0.0258","-0.00002","0.00014"
"15.600","193","0.0259","-0.00001","0.00014"
"15.700","195","0.0261","-0.00001","0.00014"
"15.800","197","0.0263","-0.00001","0.00014"
"15.900","199","0.0264","-0.00001","0.00015"
