Time,Force,Displacement,Optical Displacement,Mechanical Displacement
(s),(lbf),(in),(in),(in)
"0.000","20","0.0000","0.00001","0.00000"
"0.100","24","0.0001","-0.00001","0.00000"
"0.200","27","0.0003","-0.00001","0.00001"
"0.300","30","0.0005","0.00002","0.00001"
"0.400","31","0.0006","0.00001","0.00001"
"0.500","33","0.0008","0.00000","0.00002"
"0.600","34","0.0010","-0.00001","0.00002"
"0.700","35","0.0011","-0.00001","0.00002"
"0.800","33","0.0013","-0.00002","0.00002"
"0.900","35","0.0015","-0.00002","0.00002"
"1.000","36","0.0016","-0.00001","0.00002"
"1.100","37","0.0018","-0.00001","0.00002"
"1.200","37","0.0020","-0.00002","0.00002"
"1.300","38","0.0021","-0.00001","0.00002"
"1.400","38","0.0023","0.00000","0.00002"
"1.500","38","0.0025","-0.00001","0.00002"
"1.600","39","0.0026","0.00000","0.00002"
"1.700","39","0.0028","-0.00001","0.00003"
"1.800","39","0.0030","-0.00001","0.00003"
"1.900","40","0.0031","0.00000","0.00003"
"2.000","40","0.0033","0.00000","0.00002"
"2.100","41","0.0035","0.00001","0.00003"
"2.200","41","0.0036","0.00000","0.00002"
"2.300","41","0.0038","-0.00001","0.00003"
"2.400","41","0.0040","-0.00001","0.00003"
"2.500","42","0.0041","-0.00001","0.00003"
"2.600","42","0.0043","0.00000","0.00003"
"2.700","42","0.0045","0.00000","0.00003"
"2.800","42","0.0046","0.00001","0.00003"
"2.900","42","0.0048","0.00002","0.00003"
"3.000","42","0.0050","0.00002","0.00003"
"3.100","43","0.0051","0.00003","0.00003"
"3.200","43","0.0053","0.00003","0.00003"
"3.300","43","0.0055","0.00002","0.00003"
"3.400","43","0.0056","0.00003","0.00003"
"3.500","44","0.0058","0.00004","0.00003"
"3.600","44","0.0060","0.00005","0.00003"
"3.700","44","0.0061","0.00004","0.00003"
"3.800","44","0.0063","0.00004","0.00003"
"3.900","45","0.0065","0.00002","0.00003"
"4.000","45","0.0066","0.00002","0.00003"
"4.100","45","0.0068","0.00002","0.00003"
"4.200","46","0.0070","0.00002","0.00003"
"4.300","46","0.0071","0.00000","0.00003"
"4.400","46","0.0073","0.00000","0.00003"
"4.500","47","0.0075","0.00002","0.00003"
"4.600","47","0.0076","0.00002","0.00003"
"4.700","48","0.0078","0.00002","0.00003"
"4.800","49","0.0080","0.00001","0.00003"
"4.900","49","0.0081","0.00000","0.00003"
"5.000","50","0.0083","-0.00001","0.00004"
"5.100","51","0.0085","-0.00002","0.00004"
"5.200","52","0.0086","-0.00001","0.00004"
"5.300","52","0.0088","-0.00001","0.00004"
"5.400","53","0.0090","-0.00002","0.00004"
"5.500","54","0.0091","-0.00001","0.00004"
"5.600","54","0.0093","-0.00002","0.00004"
